Annual_Death_Rate,Probability_of_Death,Number_of_Deaths,Life_Expectancy,ID,Female_Deaths,Male_Deaths,Total_Deaths,Year,Age,Female_population,Male_population,Total_population
2.045,2.025,1542,16,1973_63,13162.84,24144.88,37307.72,1973,63,975068.49,835564.38,1810632.87
2.164,2.141,1598,15,1973_64,13690.95,24509.0,38199.95,1973,64,943030.14,789517.81,1732547.95
2.442,2.412,1762,15,1973_65,15037.25,26159.54,41196.79,1973,65,909564.38,749046.58,1658610.96
2.55,2.5180000000000002,1795,14,1973_66,15139.26,25858.44,40997.7,1973,66,873526.03,706515.07,1580041.1
2.8000000000000003,2.762,1919,13,1973_67,16181.49,26662.7,42844.19,1973,67,842526.03,673016.44,1515542.47
3.008,2.964,2002,13,1973_68,16733.61,26965.81,43699.42,1973,68,800545.21,630528.77,1431073.98
3.3000000000000003,3.247,2128,12,1973_69,17349.75,27467.97,44817.72,1973,69,750030.14,585520.55,1335550.69
3.7760000000000002,3.7060000000000004,2351,12,1973_70,18445.98,27725.05,46171.03,1973,70,679553.42,520038.36,1199591.78
3.794,3.724,2274,11,1973_71,17972.88,26409.62,44382.5,1973,71,667939.73,498969.86,1166909.59
4.542,4.441,2612,11,1973_72,21917.72,29375.59,51293.31,1973,72,668983.56,483482.19,1152465.75
4.652,4.546,2554,10,1973_73,22401.84,28569.33,50971.17,1973,73,631564.38,449043.84,1080608.22
4.865,4.749,2547,10,1973_74,21461.63,26953.8,48415.43,1973,74,569536.99,396515.07,966052.06
5.647,5.492,2806,9,1973_75,23204.0,27874.1,51078.1,1973,75,531997.26,364989.04,896986.3
5.938000000000001,5.7669999999999995,2784,9,1973_76,23746.13,27375.93,51122.06,1973,76,519484.93,347989.04,867473.97
6.516,6.311,2871,8,1973_77,25554.51,28077.17,53631.68,1973,77,499512.33,326498.63,826010.96
6.923,6.691,2852,8,1973_78,26672.75,27366.93,54039.68,1973,78,466534.25,302512.33,769046.58
7.550999999999999,7.277,2894,7,1973_79,26698.76,26752.74,53451.5,1973,79,427504.11,272498.63,700002.74
8.545,8.195,3022,7,1973_80,28158.07,26308.59,54466.66,1973,80,395504.41,242050.0,637554.41
8.972,8.587,2907,6,1973_81,26528.73,24235.91,50764.64,1973,81,344294.49,203073.93,547368.42
9.9,9.433,2920,6,1973_82,26519.73,22660.39,49180.12,1973,82,315835.47,180161.99,495997.46
11.067,10.485999999999999,2939,6,1973_83,27272.88,21881.15,49154.03,1973,83,282605.08,159448.22,442053.3
12.179,11.48,2881,5,1973_84,26626.74,20859.81,47486.55,1973,84,248172.17,137934.84,386107.01
13.284,12.457,2767,5,1973_85,24616.31,18431.01,43047.32,1973,85,199680.14,108189.42,307869.56
14.322,13.364999999999998,2599,4,1973_86,22284.81,15705.13,37989.94,1973,86,172264.16,90593.28,262857.44
15.781999999999998,14.628,2464,4,1973_87,21020.53,14285.66,35306.19,1973,87,146128.11,75452.15,221580.26
17.217,15.852,2280,4,1973_88,19588.22,12334.02,31922.24,1973,88,121748.51,61274.63,183023.14
18.829,17.209,2083,4,1973_89,17329.74,10596.46,27926.2,1973,89,97015.02,46802.83,143817.85
20.635,18.705,1874,3,1973_90,15181.28,8667.83,23849.11,1973,90,76915.89,36314.18,113230.07
21.456,19.377,1578,3,1973_91,12102.61,6961.27,19063.88,1973,91,59079.19,27024.84,86104.03
23.874000000000002,21.328,1401,3,1973_92,10621.29,5585.83,16207.12,1973,92,46571.08,20674.44,67245.52
26.551000000000002,23.439,1211,3,1973_93,8655.87,4570.5,13226.37,1973,93,33328.63,13984.5,47313.13
27.378000000000004,24.081,952,3,1973_94,6572.42,2957.97,9530.39,1973,94,23899.47,9769.48,33668.95
29.733999999999998,25.885,777,2,1973_95,5108.1,2386.78,7494.88,1973,95,17450.03,7099.81,24549.84
31.961000000000002,27.557,613,2,1973_96,3894.84,1777.58,5672.42,1973,96,12758.88,4921.9,17680.78
34.28,29.264000000000003,472,2,1973_97,3051.66,1262.41,4314.07,1973,97,8921.0,3282.97,12203.97
36.684,30.997999999999998,354,2,1973_98,2078.44,833.27,2911.71,1973,98,5748.92,2115.35,7864.27
39.162,32.749,258,2,1973_99,1286.27,587.19,1873.46,1973,99,3701.77,1358.86,5060.63
41.704,34.509,183,2,1973_100,946.21,371.12,1317.33,1973,100,2571.03,991.41,3562.44
44.298,36.265,126,2,1973_101,655.14,235.07,890.21,1973,101,1621.99,599.35,2221.34
46.929,38.01,84,1,1973_102,398.08,144.04,542.12,1973,102,1108.86,432.2,1541.06
49.583,39.732,54,1,1973_103,297.06,115.04,412.1,1973,103,711.7,271.91,983.61
52.244,41.423,34,1,1973_104,158.04,63.02,221.06,1973,104,429.79,169.88,599.67
54.898,43.074,21,1,1973_105,104.02,46.02,150.04,1973,105,282.99,109.1,392.09
57.528999999999996,44.678000000000004,12,1,1973_106,80.02,24.0,104.02,1973,106,186.82,76.39,263.21
60.122,46.226,7,1,1973_107,47.02,16.0,63.02,1973,107,124.23,60.36,184.59
62.663000000000004,47.714,4,1,1973_108,28.0,10.0,38.0,1973,108,85.31,45.38,130.69
65.14,49.136,2,1,1973_109,20.0,7.0,27.0,1973,109,68.12,27.22,95.34
67.54,100.0,2,1,1973_110,51.0,21.0,72.0,1973,110,165.09,85.86,250.95
1.709,1.6840000000000002,1684,71,1974_0,22475.64,30314.51,52790.15,1974,0,1512953.42,1583460.27,3096413.69
0.11199999999999999,0.11199999999999999,110,72,1974_1,1575.32,1893.59,3468.91,1974,1,1551873.97,1616871.23,3168745.2
0.075,0.075,74,71,1974_2,1027.21,1404.44,2431.65,1974,2,1649306.85,1724789.04,3374095.89
0.062,0.062,61,70,1974_3,924.19,1264.4,2188.59,1974,3,1727052.05,1802065.75,3529117.8
0.049,0.049,48,69,1974_4,718.15,1026.32,1744.47,1974,4,1715561.64,1783567.12,3499128.76
0.043,0.043,43,68,1974_5,621.13,884.27,1505.4,1974,5,1677038.36,1746534.25,3423572.61
0.04,0.04,39,67,1974_6,532.11,823.25,1355.36,1974,6,1694945.21,1757950.68,3452895.89
0.037,0.037,36,66,1974_7,524.1,782.24,1306.34,1974,7,1754942.47,1824936.99,3579879.46
0.034,0.034,33,65,1974_8,473.1,750.24,1223.34,1974,8,1793356.16,1864860.27,3658216.43
0.032,0.032,32,64,1974_9,463.1,775.24,1238.34,1974,9,1924904.11,2002383.56,3927287.67
0.029,0.029,29,63,1974_10,464.1,743.24,1207.34,1974,10,2037958.9,2128964.38,4166923.28
0.031,0.031,30,62,1974_11,498.1,772.24,1270.34,1974,11,2019964.38,2104465.75,4124430.13
0.036000000000000004,0.036000000000000004,35,61,1974_12,556.12,935.3,1491.42,1974,12,2056950.68,2142449.32,4199400.0
0.043,0.043,42,60,1974_13,630.13,1200.38,1830.51,1974,13,2070545.21,2152054.79,4222600.0
0.052,0.052,51,59,1974_14,711.15,1500.47,2211.62,1974,14,2089989.04,2166495.89,4256484.93
0.063,0.063,62,58,1974_15,852.18,1844.58,2696.76,1974,15,2095504.11,2177495.89,4273000.0
0.08800000000000001,0.08800000000000001,86,57,1974_16,1056.22,2685.84,3742.06,1974,16,2084515.07,2162512.33,4247027.4
0.108,0.108,105,56,1974_17,1153.23,3418.08,4571.31,1974,17,2050605.48,2121115.07,4171720.55
0.13,0.13,126,55,1974_18,1318.27,3999.25,5317.52,1974,18,2012032.88,2045043.84,4057076.72
0.13799999999999998,0.13799999999999998,134,54,1974_19,1374.28,4286.34,5660.62,1974,19,2029057.53,2034073.97,4063131.5
0.13,0.13,126,53,1974_20,1267.26,3989.26,5256.52,1974,20,1995569.86,1994597.26,3990167.12
0.14300000000000002,0.14300000000000002,138,53,1974_21,1314.27,4160.31,5474.58,1974,21,1895071.23,1890583.56,3785654.79
0.14100000000000001,0.13999999999999999,136,52,1974_22,1260.26,3942.24,5202.5,1974,22,1840065.75,1820068.49,3660134.24
0.13999999999999999,0.13999999999999999,136,51,1974_23,1228.25,3827.2,5055.45,1974,23,1780594.52,1748112.33,3528706.85
0.135,0.135,131,50,1974_24,1252.25,3587.12,4839.37,1974,24,1795495.89,1756506.85,3552002.74
0.13699999999999998,0.13699999999999998,132,49,1974_25,1278.27,3561.12,4839.39,1974,25,1779517.81,1751010.96,3530528.77
0.133,0.133,128,48,1974_26,1307.27,3357.05,4664.32,1974,26,1820827.4,1801320.55,3622147.95
0.132,0.132,127,47,1974_27,1408.29,3440.08,4848.37,1974,27,1652717.81,1629219.18,3281936.99
0.13699999999999998,0.13699999999999998,132,46,1974_28,1168.25,2726.86,3895.11,1974,28,1390953.42,1360471.23,2751424.65
0.136,0.136,131,45,1974_29,1231.26,2682.84,3914.1,1974,29,1456980.82,1418487.67,2875468.49
0.13699999999999998,0.13699999999999998,131,44,1974_30,1285.27,2822.88,4108.15,1974,30,1557386.3,1522380.82,3079767.12
0.146,0.146,140,43,1974_31,1464.3,2885.91,4350.21,1974,31,1441756.16,1407254.79,2849010.95
0.156,0.156,149,42,1974_32,1312.27,2902.91,4215.18,1974,32,1321610.96,1280610.96,2602221.92
0.16999999999999998,0.16999999999999998,162,41,1974_33,1467.3,2790.87,4258.17,1974,33,1240093.15,1192095.89,2432189.04
0.179,0.179,171,40,1974_34,1565.32,2821.88,4387.2,1974,34,1230528.77,1177531.51,2408060.28
0.184,0.184,175,39,1974_35,1569.32,2792.87,4362.19,1974,35,1202523.29,1151021.92,2353545.21
0.199,0.198,188,39,1974_36,1677.34,2923.92,4601.26,1974,36,1170545.21,1115046.58,2285591.79
0.215,0.215,204,38,1974_37,1810.38,3050.96,4861.34,1974,37,1151512.33,1092512.33,2244024.66
0.23900000000000002,0.23900000000000002,225,37,1974_38,1928.4,3372.06,5300.46,1974,38,1132019.18,1078506.85,2210526.03
0.256,0.255,241,36,1974_39,2086.43,3666.15,5752.58,1974,39,1132526.03,1084030.14,2216556.17
0.27799999999999997,0.27799999999999997,262,35,1974_40,2287.48,3889.22,6176.7,1974,40,1141975.34,1092482.19,2234457.53
0.298,0.298,279,34,1974_41,2528.52,4121.29,6649.81,1974,41,1137498.63,1090490.41,2227989.04
0.34199999999999997,0.34099999999999997,319,33,1974_42,2954.61,4725.48,7680.09,1974,42,1151961.64,1108961.64,2260923.28
0.365,0.364,339,32,1974_43,3166.65,5195.63,8362.28,1974,43,1193402.74,1144920.55,2338323.29
0.41000000000000003,0.409,380,31,1974_44,3636.75,6032.89,9669.64,1974,44,1216041.1,1159043.84,2375084.94
0.44200000000000006,0.441,407,30,1974_45,3766.78,6619.07,10385.85,1974,45,1204975.34,1140975.34,2345950.68
0.49300000000000005,0.492,453,30,1974_46,4303.89,7238.27,11542.16,1974,46,1208994.52,1142002.74,2350997.26
0.5349999999999999,0.5329999999999999,488,29,1974_47,4536.94,8056.52,12593.46,1974,47,1219969.86,1144482.19,2364452.05
0.5930000000000001,0.5910000000000001,539,28,1974_48,5124.05,8915.79,14039.84,1974,48,1241454.79,1151460.27,2392915.06
0.638,0.636,576,27,1974_49,5685.18,9857.09,15542.27,1974,49,1271016.44,1173515.07,2444531.51
0.701,0.698,628,26,1974_50,6100.26,10643.34,16743.6,1974,50,1241000.0,1145000.0,2386000.0
0.735,0.732,654,25,1974_51,6459.34,11319.54,17778.88,1974,51,1261983.56,1164967.12,2426950.68
0.812,0.8089999999999999,718,25,1974_52,7143.47,12403.89,19547.36,1974,52,1246049.32,1153536.99,2399586.31
0.8659999999999999,0.8630000000000001,759,24,1974_53,7485.55,13173.13,20658.68,1974,53,1235967.12,1142473.97,2378441.09
0.941,0.936,817,23,1974_54,7746.6,14198.45,21945.05,1974,54,1205087.67,1105589.04,2310676.71
1.012,1.0070000000000001,870,22,1974_55,8025.65,14502.54,22528.19,1974,55,1135071.23,1037052.05,2172123.28
1.141,1.135,971,21,1974_56,8799.82,15358.82,24158.64,1974,56,1088536.99,992531.51,2081068.5
1.232,1.224,1035,21,1974_57,8832.82,16378.13,25210.95,1974,57,1066501.37,967495.89,2033997.26
1.362,1.353,1130,20,1974_58,9545.97,17865.6,27411.57,1974,58,1062487.67,954983.56,2017471.23
1.461,1.451,1196,19,1974_59,10333.13,19011.96,29345.09,1974,59,1056032.88,946520.55,2002553.43
1.657,1.643,1335,18,1974_60,11221.32,20384.39,31605.71,1974,60,1005501.37,894506.85,1900008.22
1.7229999999999999,1.7080000000000002,1365,18,1974_61,11669.41,21144.63,32814.04,1974,61,1001534.25,886526.03,1888060.28
1.864,1.847,1450,17,1974_62,12302.54,22321.0,34623.54,1974,62,983016.44,856016.44,1839032.88
1.991,1.9720000000000002,1520,16,1974_63,13123.71,23369.32,36493.03,1974,63,988969.86,848471.23,1837441.09
2.104,2.0820000000000003,1573,16,1974_64,13839.86,24249.61,38089.47,1974,64,978567.12,819564.38,1798131.5
2.2929999999999997,2.267,1677,15,1974_65,14588.01,25503.0,40091.01,1974,65,943528.77,772517.81,1716046.58
2.466,2.436,1761,14,1974_66,15119.12,25899.12,41018.24,1974,66,906564.38,728545.21,1635109.59
2.699,2.6630000000000003,1879,14,1974_67,15920.28,26487.31,42407.59,1974,67,860523.29,684013.7,1544536.99
2.9139999999999997,2.872,1972,13,1974_68,16583.42,26827.42,43410.84,1974,68,827027.4,647517.81,1474545.21
3.174,3.125,2084,13,1974_69,17339.58,27165.51,44505.09,1974,69,777043.84,603528.77,1380572.61
3.6020000000000003,3.5380000000000003,2286,12,1974_70,18227.76,27266.55,45494.31,1974,70,707021.92,539013.7,1246035.62
3.772,3.702,2307,11,1974_71,18430.8,26882.43,45313.23,1974,71,668060.27,504545.21,1172605.48
4.207000000000001,4.12,2472,11,1974_72,19508.02,27155.51,46663.53,1974,72,641441.1,465468.49,1106909.59
4.641,4.536,2610,10,1974_73,22085.56,28489.93,50575.49,1974,73,650487.67,459986.3,1110473.97
4.909,4.791,2632,10,1974_74,22923.73,28179.84,51103.57,1974,74,607065.75,418043.84,1025109.59
5.178,5.048,2640,9,1974_75,22359.61,26424.28,48783.89,1974,75,545038.36,367016.44,912054.8
5.769,5.607,2784,9,1974_76,23410.83,26478.3,49889.13,1974,76,514501.37,340490.41,854991.78
6.141,5.958,2793,8,1974_77,23538.86,26494.3,50033.16,1974,77,498484.93,321989.04,820473.97
6.6530000000000005,6.439,2838,8,1974_78,26042.38,26680.36,52722.74,1974,78,484515.07,308002.74,792517.81
7.178,6.93,2858,7,1974_79,26185.4,25941.13,52126.53,1974,79,440030.14,276010.96,716041.1
8.129999999999999,7.811999999999999,2999,7,1974_80,27000.57,25326.95,52327.52,1974,80,398625.67,239121.04,637746.71
8.698,8.334999999999999,2949,6,1974_81,26747.51,24149.57,50897.08,1974,81,367878.36,216454.81,584333.17
9.555,9.119,2958,6,1974_82,26589.48,22698.11,49287.59,1974,82,318096.58,179863.49,497960.07
10.512,9.987,2944,6,1974_83,26340.43,20774.51,47114.94,1974,83,288695.43,157737.54,446432.97
11.901,11.233,2980,5,1974_84,26914.55,20271.36,47185.91,1974,84,255886.29,138160.19,394046.48
12.834999999999999,12.061,2841,5,1974_85,25413.24,18758.88,44172.12,1974,85,222107.85,118019.03,340126.88
14.084,13.157,2725,5,1974_86,23420.84,16404.14,39824.98,1974,86,176636.37,91328.65,267965.02
14.954,13.913,2503,4,1974_87,20564.25,13628.28,34192.53,1974,87,150468.3,75554.22,226022.52
16.825000000000003,15.52,2403,4,1974_88,19544.03,12463.9,32007.93,1974,88,125857.53,62152.51,188010.04
18.102,16.6,2171,4,1974_89,17507.61,10614.33,28121.94,1974,89,103161.96,49686.05,152848.01
19.573,17.828,1945,4,1974_90,15156.13,8776.75,23932.88,1974,90,80781.81,37263.03,118044.84
20.933,18.948999999999998,1699,3,1974_91,12581.6,7072.22,19653.82,1974,91,63217.93,28389.9,91607.83
23.079,20.691000000000003,1503,3,1974_92,10693.21,5714.79,16408.0,1974,92,47797.92,20873.34,68671.26
24.93,22.167,1277,3,1974_93,8816.81,4417.39,13234.2,1974,93,36805.92,15522.49,52328.41
27.289,24.012,1077,3,1974_94,7061.46,3357.05,10418.51,1974,94,25791.68,10227.56,36019.24
28.832,25.2,859,2,1974_95,5268.09,2228.7,7496.79,1974,95,18032.99,7070.13,25103.12
31.019999999999996,26.855,685,2,1974_96,3852.8,1801.57,5654.37,1974,96,12946.49,5032.84,17979.33
33.303,28.549000000000003,532,2,1974_97,2990.61,1245.39,4236.0,1974,97,9273.19,3387.28,12660.47
35.674,30.274,403,2,1974_98,2237.46,839.26,3076.72,1974,98,6334.63,2230.52,8565.15
38.124,32.019999999999996,297,2,1974_99,1462.31,579.18,2041.49,1974,99,4088.13,1398.43,5486.56
40.642,33.778000000000006,213,2,1974_100,1007.21,346.11,1353.32,1974,100,2585.68,902.22,3487.9
43.216,35.537,149,2,1974_101,622.13,251.08,873.21,1974,101,1759.52,651.29,2410.81
45.833,37.288,101,2,1974_102,448.1,160.05,608.15,1974,102,1093.16,423.87,1517.03
48.478,39.019999999999996,66,1,1974_103,278.06,101.03,379.09,1974,103,755.75,299.14,1054.89
51.137,40.725,42,1,1974_104,219.04,62.02,281.06,1974,104,483.84,181.45,665.29
53.795,42.392,26,1,1974_105,101.02,47.02,148.04,1974,105,294.48,120.25,414.73
56.435,44.015,15,1,1974_106,65.02,21.0,86.02,1974,106,194.03,70.3,264.33
59.043,45.585,9,1,1974_107,46.0,13.0,59.0,1974,107,124.18,57.62,181.8
61.604000000000006,47.097,5,1,1974_108,33.0,7.0,40.0,1974,108,87.64,48.9,136.54
64.106,48.546,3,1,1974_109,16.0,10.0,26.0,1974,109,61.16,34.66,95.82
66.536,100.0,3,1,1974_110,49.0,27.0,76.0,1974,110,171.21,89.61,260.82
1.609,1.5859999999999999,1586,72,1975_0,21717.43,28819.38,50536.81,1975,0,1517558.9,1591060.27,3108619.17
0.108,0.108,107,72,1975_1,1474.3,1798.46,3272.76,1975,1,1486947.95,1553454.79,3040402.74
0.073,0.073,72,71,1975_2,989.21,1264.33,2253.54,1975,2,1535882.19,1603378.08,3139260.27
0.055,0.055,54,70,1975_3,776.16,1046.27,1822.43,1975,3,1675306.85,1748789.04,3424095.89
0.048,0.048,47,69,1975_4,735.15,978.25,1713.4,1975,4,1757553.42,1833569.86,3591123.28
0.042,0.042,42,68,1975_5,598.12,899.23,1497.35,1975,5,1714063.01,1784068.49,3498131.5
0.038,0.038,37,67,1975_6,538.11,774.2,1312.31,1975,6,1688536.99,1753035.62,3441572.61
0.034999999999999996,0.034999999999999996,34,66,1975_7,479.1,743.19,1222.29,1975,7,1715950.68,1785956.16,3501906.84
0.03,0.03,30,65,1975_8,428.08,630.16,1058.24,1975,8,1719441.1,1789934.25,3509375.35
0.03,0.03,29,65,1975_9,425.08,671.18,1096.26,1975,9,1838860.27,1910364.38,3749224.65
0.029,0.029,28,64,1975_10,427.08,709.18,1136.26,1975,10,1984895.89,2070876.71,4055772.6
0.031,0.031,30,63,1975_11,465.09,772.2,1237.29,1975,11,1995468.49,2082473.97,4077942.46
0.032,0.032,31,62,1975_12,465.1,833.22,1298.32,1975,12,2024961.64,2109961.64,4134923.28
0.036000000000000004,0.036000000000000004,36,61,1975_13,525.1,1000.26,1525.36,1975,13,2069452.05,2154452.05,4223904.1
0.049,0.049,48,60,1975_14,678.14,1420.36,2098.5,1975,14,2102043.84,2184052.05,4286095.89
0.064,0.064,63,59,1975_15,876.18,1874.48,2750.66,1975,15,2094493.15,2176501.37,4270994.52
0.08,0.08,79,58,1975_16,994.2,2436.62,3430.82,1975,16,2093008.22,2167000.0,4260008.22
0.10300000000000001,0.10300000000000001,101,57,1975_17,1179.24,3229.83,4409.07,1975,17,2094515.07,2168013.7,4262528.77
0.124,0.124,121,56,1975_18,1268.26,3976.02,5244.28,1975,18,2060098.63,2101109.59,4161208.22
0.129,0.129,126,55,1975_19,1313.27,4124.05,5437.32,1975,19,2066043.84,2080553.42,4146597.26
0.131,0.131,127,54,1975_20,1315.26,4086.05,5401.31,1975,20,2040052.05,2052060.27,4092112.32
0.13799999999999998,0.13799999999999998,134,53,1975_21,1270.26,4196.07,5466.33,1975,21,1948073.97,1951082.19,3899156.16
0.13699999999999998,0.13699999999999998,133,52,1975_22,1316.27,3918.0,5234.27,1975,22,1890572.6,1873578.08,3764150.68
0.14100000000000001,0.14100000000000001,137,51,1975_23,1262.26,3963.01,5225.27,1975,23,1840068.49,1816575.34,3656643.83
